,,QUALITATS,,,,RECEPTES,,,,,,,,,,PRODUCCIO,,,,,
,,,Tipus,Pot gestionar,Aqua,from,to,,,,,,,Connectar?,,Preparat,blender,Unity,Codi necessari?,,
,,,,,,,,,,,,,,,,,,,,,
TRUE,CASA,,Casa,,FALSE,CAMPAMENT,,CAMPAMENT,CAMPAMENT,CAMPAMENT,CAMPAMENT,,,,,,,,,,Place holder / Refer / Pensar
FALSE,CASA ABANDONADA,,,,FALSE,CASA,,CASA o CAMI o PORT,CASA o CAMI o PORT,CASA o CAMI o PORT,CASA o CAMI o PORT,CASA o CAMI o PORT,CASA o CAMI o PORT,,,,,,"No hi ha la opcio de NEGAR la peça, osigui, que la peca que hi ha a la recepta, sigui la que no es vol buscar.",,Fet
FALSE,CAMPAMENT,,Casa,,FALSE,CAMI,,CAMI,CAMI,CAMi,,,,,,,,,,,En progress
FALSE,,,,,FALSE,CAMPAMENT,,CAMI,CAMI,CAMPAMENT,,,,,,,,,,,Prioritari
FALSE,CIUTAT,,Casa,,FALSE,CASA,,CASA,CASA,CASA,CASA,CASA,CASA,,,,,,,,no necessari / per mes endevant
FALSE,,,,,FALSE,CASA,,CIUTAT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TRUE,GRANJA,,Productor,Blat,FALSE,CASA,,CAMP,desconnectat,,,,,CONNECT,,,,,,,
FALSE,GRANJA ABANDONADA,,,,FALSE,GRANJA,,CIUTAT,,,,,,DESCONN,,,,,,,
FALSE,,,,,FALSE,GRANJA,,CAMP ABANDONAT,,,,,,DESCONN,,,,,,,
FALSE,,,,,FALSE,GRANJA,,CAMP PLAGAT,,,,,,DESCONN,,,,,,,
FALSE,DIPOSIT ARROS,,Productor,Arros,FALSE,CASA,,ARROSSAL,,,,,,CONNECT,,,,,,,
FALSE,,,,,FALSE,GRANJA,,ARROSSAL,,,,,,CONNECT,,,,,,,
FALSE,,,,,FALSE,GRANJA,,connexio =,ARROSSAL,,,,,CONNECT,,,,,,,
FALSE,DIPOSIT ARROS ABANDONAT,,,,FALSE,DIPOSIT ARROS,,CIUTAT,,,,,,DESCONN,,,,,,,
FALSE,LLENYETARIE,,Productor,Llenya,FALSE,CASA,,BOSC,desconnectat,,,,,CONNECT,,,,,,,
FALSE,LLENYETARIE ABANDONAT?,,,,FALSE,LLENYETARIE,,BOSC MALALT,,,,,,DESCONN,,,,,,,
FALSE,,,,,FALSE,LLENYETARIE,,DESFORESTACIÓ,,,,,,DESCONN,,,,,,,
FALSE,AIGUADOR,,Productor,Aigua,FALSE,CASA,,RIU,desconnectat,,,,,CONNECT,,,,,,,
FALSE,,,,,FALSE,CASA,,RIU RAPID,desconnectat,,,,,CONNECT,,,,,,,
FALSE,AIGUADOR ABANDONAT,,,,FALSE,AIGUADOR,,connexio =,RIU CONTAMINAT,,,,,DESCONN,,,,,,,
FALSE,,,,,FALSE,AIGUADOR,,connexio =,RIU SEC,,,,,DESCONN,,,,,,,
FALSE,,,,,FALSE,AIGUADOR,,connexio =,AIGUAMOLL,,,,,DESCONN,,,,,,,
FALSE,PESCADOR,,Productor,Peix,FALSE,CASA,,PORT,desconnectat,,,,,CONNECT,,,,,,,
